age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
1 year,A695213,Dog,,Adoption,Neutered Male
8 years,A695214,Dog,,Adoption,Spayed Female
2 years,A695215,Dog,,Adoption,Neutered Male
2 years,A695215,Dog,,Adoption,Neutered Male
8 years,A695216,Dog,Offsite,Adoption,Spayed Female
5 years,A695217,Dog,,Adoption,Neutered Male
2 years,A695218,Dog,,Adoption,Neutered Male
11 years,A695219,Cat,Suffering,Euthanasia,Spayed Female
1 year,A695220,Dog,,Adoption,Neutered Male
11 years,A695221,Cat,,Return to Owner,Spayed Female
2 years,A695222,Dog,,Adoption,Neutered Male
3 months,A695223,Cat,,Adoption,Neutered Male
8 months,A695223,Cat,Partner,Transfer,Neutered Male
2 years,A695224,Dog,,Adoption,Spayed Female
2 months,A695225,Cat,Suffering,Euthanasia,Intact Male
3 months,A695226,Cat,,Adoption,Neutered Male
3 months,A695227,Cat,,Adoption,Spayed Female
3 months,A695228,Cat,,Adoption,Spayed Female
2 months,A695229,Cat,Partner,Transfer,Neutered Male
2 years,A695230,Cat,SCRP,Transfer,Neutered Male
2 years,A695230,Cat,,Return to Owner,Neutered Male
5 years,A695233,Dog,,Return to Owner,Neutered Male
1 year,A695234,Dog,,Adoption,Neutered Male
4 months,A695236,Cat,,Adoption,Spayed Female
2 years,A695238,Dog,,Return to Owner,Neutered Male
2 months,A695239,Dog,Offsite,Adoption,Neutered Male
7 years,A695240,Dog,,Return to Owner,Neutered Male
2 months,A695241,Dog,Partner,Transfer,Neutered Male
2 months,A695242,Dog,Partner,Transfer,Neutered Male
2 months,A695243,Dog,,Adoption,Neutered Male
1 month,A695244,Dog,,Adoption,Neutered Male
7 months,A695245,Dog,,Adoption,Neutered Male
3 years,A695247,Dog,,Return to Owner,Neutered Male
3 months,A695248,Cat,Foster,Adoption,Neutered Male
4 years,A695249,Dog,,Adoption,Neutered Male
2 years,A695251,Cat,Partner,Transfer,Neutered Male
4 years,A695253,Cat,SCRP,Transfer,Spayed Female
4 years,A695253,Cat,SCRP,Transfer,Spayed Female
11 years,A695254,Dog,,Return to Owner,Spayed Female
9 months,A695255,Dog,,Return to Owner,Spayed Female
2 years,A695256,Dog,,Adoption,Neutered Male
3 years,A695256,Dog,,Adoption,Neutered Male
12 years,A695257,Cat,Suffering,Euthanasia,Neutered Male
1 year,A695258,Cat,SCRP,Transfer,Intact Male
2 years,A695259,Dog,Partner,Transfer,Intact Male
4 months,A695260,Cat,,Adoption,Neutered Male
3 years,A695266,Dog,,Return to Owner,Intact Male
4 months,A695267,Cat,,Adoption,Neutered Male
2 years,A695269,Cat,SCRP,Transfer,Intact Female
1 year,A695270,Dog,Partner,Transfer,Spayed Female
1 year,A695270,Dog,,Return to Owner,Spayed Female
2 years,A695272,Cat,Partner,Transfer,Neutered Male
4 years,A695273,Cat,,Return to Owner,Neutered Male
3 months,A695274,Dog,,Adoption,Spayed Female
1 year,A695275,Dog,Partner,Transfer,Intact Female
3 months,A695276,Dog,Partner,Transfer,Spayed Female
2 years,A695277,Dog,,Return to Owner,Neutered Male
2 years,A695278,Dog,,Adoption,Neutered Male
1 year,A695279,Dog,Partner,Transfer,Spayed Female
2 years,A695280,Dog,,Adoption,Spayed Female
6 years,A695281,Dog,,Return to Owner,Intact Male
2 years,A695284,Dog,,Return to Owner,Spayed Female
1 year,A695285,Dog,,Return to Owner,Neutered Male
2 months,A695286,Dog,,Adoption,Neutered Male
2 years,A695288,Cat,,Adoption,Spayed Female
3 years,A695290,Dog,Partner,Transfer,Neutered Male
7 years,A695292,Dog,,Return to Owner,Neutered Male
3 years,A695293,Dog,,Return to Owner,Neutered Male
2 months,A695294,Dog,,Adoption,Neutered Male
2 years,A695296,Dog,,Adoption,Neutered Male
7 months,A695297,Cat,,Adoption,Spayed Female
2 months,A695298,Cat,,Adoption,Neutered Male
1 month,A695299,Cat,Foster,Adoption,Neutered Male
1 month,A695300,Cat,Foster,Adoption,Spayed Female
7 years,A695301,Dog,,Return to Owner,Neutered Male
6 years,A695302,Dog,,Adoption,Spayed Female
8 months,A695303,Dog,,Adoption,Spayed Female
1 year,A695304,Dog,Partner,Transfer,Intact Male
1 year,A695305,Dog,,Adoption,Spayed Female
1 year,A695306,Dog,Partner,Transfer,Neutered Male
1 year,A695307,Dog,,Adoption,Neutered Male
13 years,A695308,Dog,,Return to Owner,Spayed Female
8 years,A695309,Dog,,Return to Owner,Neutered Male
12 years,A695310,Dog,,Adoption,Neutered Male
12 years,A695310,Dog,,Adoption,Neutered Male
12 years,A695310,Dog,Foster,Adoption,Neutered Male
1 month,A695312,Cat,,Adoption,Neutered Male
1 month,A695315,Dog,Foster,Adoption,Neutered Male
2 years,A695316,Dog,,Adoption,Spayed Female
2 months,A695323,Dog,,Adoption,Spayed Female
13 years,A695325,Dog,Suffering,Euthanasia,Intact Female
8 years,A695326,Dog,Partner,Transfer,Neutered Male
1 year,A695327,Dog,,Return to Owner,Neutered Male
1 year,A695328,Dog,Foster,Adoption,Neutered Male
1 year,A695328,Dog,,Adoption,Neutered Male
8 months,A695333,Cat,Partner,Transfer,Spayed Female
1 year,A695335,Cat,SCRP,Transfer,Unknown
8 months,A695336,Dog,,Adoption,Neutered Male
10 months,A695337,Dog,Partner,Transfer,Intact Female
2 years,A695338,Dog,,Adoption,Neutered Male
2 years,A695339,Dog,Offsite,Adoption,Spayed Female
2 years,A695339,Dog,,Adoption,Spayed Female
5 years,A695340,Dog,,Adoption,Spayed Female
5 months,A695341,Dog,Offsite,Adoption,Neutered Male
8 months,A695341,Dog,Offsite,Adoption,Neutered Male
8 months,A695341,Dog,,Adoption,Neutered Male
2 months,A695342,Dog,,Adoption,Spayed Female
2 months,A695343,Dog,Offsite,Adoption,Neutered Male
2 months,A695344,Dog,Offsite,Adoption,Spayed Female
3 years,A695345,Dog,,Adoption,Spayed Female
3 years,A695345,Dog,Aggressive,Euthanasia,Spayed Female
10 months,A695346,Dog,Partner,Transfer,Intact Female
2 years,A695347,Dog,,Return to Owner,Neutered Male
7 years,A695348,Dog,,Return to Owner,Neutered Male
6 months,A695349,Cat,,Adoption,Spayed Female
11 months,A695349,Cat,,Adoption,Spayed Female
1 year,A695350,Dog,Aggressive,Euthanasia,Intact Male
1 year,A695352,Dog,,Adoption,Spayed Female
4 months,A695353,Dog,,Return to Owner,Spayed Female
10 months,A695353,Dog,Partner,Transfer,Spayed Female
1 year,A695354,Dog,,Adoption,Spayed Female
1 year,A695354,Dog,,Adoption,Spayed Female
1 year,A695354,Dog,,Adoption,Spayed Female
1 year,A695354,Dog,Partner,Transfer,Spayed Female
1 year,A695355,Dog,,Adoption,Neutered Male
1 year,A695358,Dog,Partner,Transfer,Neutered Male
2 years,A695359,Dog,,Adoption,Spayed Female
1 year,A695360,Dog,,Adoption,Neutered Male
1 year,A695361,Dog,,Adoption,Spayed Female
6 years,A695362,Cat,Partner,Transfer,Spayed Female
5 years,A695364,Dog,Partner,Transfer,Neutered Male
1 year,A695365,Dog,,Return to Owner,Neutered Male
3 years,A695365,Dog,,Return to Owner,Neutered Male
3 years,A695367,Dog,,Adoption,Spayed Female
1 year,A695368,Dog,,Adoption,Neutered Male
1 year,A695368,Dog,,Adoption,Neutered Male
1 year,A695368,Dog,,Adoption,Neutered Male
11 months,A695369,Dog,,Adoption,Neutered Male
1 year,A695370,Cat,,Adoption,Spayed Female
1 year,A695371,Dog,,Adoption,Spayed Female
3 years,A695373,Cat,Suffering,Euthanasia,Intact Male
1 year,A695382,Dog,Foster,Adoption,Neutered Male
4 months,A695384,Dog,,Adoption,Spayed Female
13 years,A695394,Dog,,Return to Owner,Neutered Male
3 years,A695395,Dog,,Adoption,Neutered Male
4 years,A695395,Dog,,Adoption,Neutered Male
3 years,A695396,Cat,,Return to Owner,Neutered Male
3 years,A695397,Cat,,Return to Owner,Spayed Female
1 year,A695398,Cat,Partner,Transfer,Spayed Female
2 months,A695404,Dog,Offsite,Adoption,Spayed Female
10 months,A695405,Dog,Partner,Transfer,Neutered Male
10 months,A695406,Dog,Partner,Transfer,Intact Male
2 months,A695407,Dog,Offsite,Adoption,Spayed Female
2 months,A695408,Dog,Offsite,Adoption,Spayed Female
2 months,A695409,Dog,Offsite,Adoption,Neutered Male
2 months,A695410,Dog,Offsite,Adoption,Neutered Male
1 year,A695411,Dog,Partner,Transfer,Intact Female
3 years,A695414,Cat,SCRP,Transfer,Intact Female
2 years,A695417,Dog,,Return to Owner,Intact Male
4 months,A695418,Cat,SCRP,Transfer,Intact Male
3 years,A695421,Cat,Barn,Transfer,Neutered Male
1 year,A695423,Cat,,Return to Owner,Intact Female
2 years,A695425,Cat,,Adoption,Spayed Female
1 year,A695426,Cat,Suffering,Euthanasia,Neutered Male
1 year,A695427,Cat,SCRP,Transfer,Neutered Male
1 year,A695427,Cat,,Adoption,Neutered Male
1 year,A695428,Cat,SCRP,Transfer,Intact Female
1 year,A695429,Dog,,Adoption,Neutered Male
1 year,A695430,Cat,SCRP,Transfer,Intact Female
1 year,A695432,Cat,SCRP,Transfer,Intact Female
1 year,A695433,Cat,SCRP,Transfer,Intact Male
1 year,A695436,Cat,SCRP,Transfer,Intact Female
3 years,A695438,Dog,,Adoption,Spayed Female
3 years,A695438,Dog,,Adoption,Spayed Female
2 years,A695441,Dog,Partner,Transfer,Intact Male
3 months,A695445,Dog,,Adoption,Neutered Male
3 months,A695445,Dog,,Adoption,Neutered Male
2 years,A695455,Dog,,Adoption,Neutered Male
3 years,A695455,Dog,,Adoption,Neutered Male
4 months,A695460,Cat,,Adoption,Neutered Male
1 year,A695461,Dog,,Adoption,Spayed Female
5 years,A695464,Dog,,Return to Owner,Spayed Female
1 year,A695470,Cat,SCRP,Transfer,Intact Male
1 year,A695471,Cat,SCRP,Transfer,Intact Female
4 years,A695472,Cat,SCRP,Transfer,Intact Male
1 year,A695473,Dog,,Adoption,Neutered Male
10 years,A695474,Dog,Foster,Adoption,Spayed Female
3 years,A695475,Dog,,Return to Owner,Neutered Male
2 months,A695479,Dog,,Adoption,Spayed Female
1 year,A695479,Dog,,Adoption,Spayed Female
2 years,A695483,Cat,,Return to Owner,Neutered Male
3 years,A695484,Dog,,Return to Owner,Neutered Male
2 years,A695487,Cat,SCRP,Transfer,Neutered Male
6 years,A695488,Dog,Aggressive,Euthanasia,Intact Male
2 years,A695489,Dog,,Adoption,Spayed Female
4 years,A695490,Cat,Suffering,Euthanasia,Intact Male
8 years,A695492,Cat,Partner,Transfer,Neutered Male
1 year,A695493,Dog,,Adoption,Spayed Female
4 years,A695494,Dog,,Adoption,Spayed Female
4 years,A695495,Dog,Partner,Transfer,Spayed Female
5 months,A695496,Dog,,Adoption,Neutered Male
1 year,A695497,Cat,SCRP,Transfer,Unknown
1 year,A695499,Dog,,Adoption,Neutered Male
1 year,A695500,Dog,Partner,Transfer,Neutered Male
3 years,A695504,Dog,Aggressive,Euthanasia,Spayed Female
3 years,A695504,Dog,Suffering,Euthanasia,Spayed Female
2 years,A695506,Cat,Partner,Transfer,Neutered Male
3 years,A695507,Cat,,Adoption,Neutered Male
1 year,A695515,Dog,,Adoption,Neutered Male
2 years,A695516,Cat,SCRP,Transfer,Intact Female
8 years,A695519,Dog,,Adoption,Neutered Male
9 years,A695520,Dog,,Adoption,Neutered Male
9 years,A695521,Dog,,Adoption,Neutered Male
11 years,A695521,Dog,Partner,Transfer,Neutered Male
1 year,A695522,Dog,,Adoption,Neutered Male
2 months,A695524,Dog,Foster,Adoption,Spayed Female
12 years,A695525,Dog,Foster,Adoption,Neutered Male
4 months,A695530,Dog,,Adoption,Spayed Female
1 year,A695530,Dog,,Adoption,Spayed Female
6 years,A695531,Dog,,Return to Owner,Neutered Male
2 years,A695532,Dog,,Return to Owner,Neutered Male
6 months,A695533,Dog,,Adoption,Spayed Female
6 months,A695534,Cat,,Adoption,Spayed Female
2 years,A695535,Dog,,Adoption,Spayed Female
1 month,A695537,Dog,Partner,Transfer,Intact Female
1 year,A695539,Cat,SCRP,Transfer,Intact Male
6 years,A695540,Cat,,Return to Owner,Spayed Female
1 year,A695541,Cat,SCRP,Transfer,Intact Female
1 year,A695542,Dog,,Return to Owner,Neutered Male
2 years,A695543,Cat,Partner,Transfer,Intact Female
1 year,A695546,Cat,SCRP,Transfer,Intact Male
9 months,A695547,Dog,,Adoption,Neutered Male
2 years,A695548,Dog,,Return to Owner,Intact Male
2 years,A695548,Dog,,Return to Owner,Neutered Male
1 year,A695549,Cat,,Adoption,Spayed Female
3 years,A695550,Dog,,Return to Owner,Neutered Male
4 months,A695551,Dog,Suffering,Euthanasia,Intact Male
1 year,A695556,Dog,,Return to Owner,Neutered Male
11 months,A695569,Dog,,Return to Owner,Neutered Male
1 year,A695569,Dog,,Adoption,Neutered Male
2 years,A695570,Dog,,Return to Owner,Neutered Male
1 year,A695571,Dog,,Return to Owner,Neutered Male
1 year,A695572,Dog,,Return to Owner,Intact Female
1 year,A695573,Dog,,Return to Owner,Intact Male
3 years,A695574,Dog,,Return to Owner,Intact Female
2 months,A695575,Dog,,Return to Owner,Neutered Male
2 years,A695576,Cat,SCRP,Transfer,Neutered Male
1 year,A695578,Dog,,Return to Owner,Intact Male
1 year,A695578,Dog,Partner,Transfer,Neutered Male
4 years,A695579,Dog,,Adoption,Spayed Female
7 months,A695580,Dog,Partner,Transfer,Neutered Male
2 years,A695581,Dog,,Adoption,Neutered Male
9 months,A695582,Dog,,Adoption,Neutered Male
2 months,A695583,Dog,,Adoption,Neutered Male
11 months,A695585,Dog,,Adoption,Spayed Female
10 months,A695585,Dog,,Adoption,Spayed Female
1 year,A695585,Dog,Partner,Transfer,Spayed Female
2 months,A695586,Dog,Foster,Adoption,Spayed Female
9 months,A695587,Dog,,Adoption,Spayed Female
1 year,A695588,Dog,,Adoption,Spayed Female
1 year,A695589,Cat,SCRP,Transfer,Unknown
7 years,A695590,Dog,,Adoption,Spayed Female
2 years,A695591,Dog,,Return to Owner,Neutered Male
2 years,A695593,Cat,SCRP,Transfer,Intact Male
1 year,A695594,Dog,,Adoption,Neutered Male
6 years,A695598,Dog,,Return to Owner,Intact Female
3 years,A695599,Dog,,Adoption,Spayed Female
10 months,A695600,Dog,,Return to Owner,Spayed Female
10 months,A695600,Dog,Partner,Transfer,Spayed Female
10 months,A695602,Dog,Partner,Transfer,Intact Female
2 months,A695603,Dog,,Return to Owner,Intact Female
5 months,A695604,Dog,,Return to Owner,Neutered Male
5 years,A695605,Dog,Partner,Transfer,Neutered Male
11 years,A695613,Dog,,Return to Owner,Neutered Male
8 months,A695615,Dog,,Return to Owner,Neutered Male
1 year,A695616,Dog,,Adoption,Spayed Female
12 years,A695617,Cat,Suffering,Euthanasia,Neutered Male
2 months,A695618,Dog,,Adoption,Neutered Male
2 years,A695619,Dog,,Return to Owner,Neutered Male
1 year,A695622,Cat,SCRP,Transfer,Unknown
1 year,A695623,Dog,,Adoption,Spayed Female
6 months,A695625,Dog,,Adoption,Spayed Female
8 years,A695626,Dog,,Adoption,Spayed Female
10 years,A695626,Dog,Foster,Adoption,Spayed Female
4 years,A695627,Dog,,Return to Owner,Spayed Female
5 years,A695627,Dog,,Return to Owner,Spayed Female
2 years,A695628,Cat,,Adoption,Spayed Female
2 years,A695629,Cat,SCRP,Transfer,Intact Female
2 years,A695630,Dog,,Adoption,Spayed Female
3 years,A695631,Cat,Partner,Transfer,Spayed Female
1 year,A695632,Dog,,Return to Owner,Spayed Female
1 year,A695633,Dog,Foster,Adoption,Spayed Female
1 month,A695634,Dog,Foster,Adoption,Neutered Male
1 month,A695635,Dog,Foster,Adoption,Neutered Male
1 month,A695636,Dog,Foster,Adoption,Spayed Female
1 month,A695637,Dog,Foster,Adoption,Neutered Male
1 month,A695638,Dog,Foster,Adoption,Spayed Female
2 years,A695639,Dog,,Return to Owner,Spayed Female
1 year,A695641,Dog,Partner,Transfer,Spayed Female
6 months,A695642,Cat,Partner,Transfer,Spayed Female
6 months,A695643,Cat,,Adoption,Spayed Female
1 year,A695645,Dog,Foster,Adoption,Neutered Male
1 year,A695647,Dog,,Return to Owner,Neutered Male
1 year,A695647,Dog,,Return to Owner,Neutered Male
5 months,A695649,Cat,,Return to Owner,Spayed Female
5 months,A695650,Cat,,Return to Owner,Spayed Female
8 months,A695654,Dog,Suffering,Euthanasia,Intact Female
1 month,A695656,Dog,,Return to Owner,Intact Male
6 months,A695658,Cat,SCRP,Transfer,Intact Female
4 years,A695660,Cat,Partner,Transfer,Neutered Male
7 years,A695661,Cat,Suffering,Euthanasia,Intact Female
4 years,A695663,Cat,Partner,Transfer,Neutered Male
1 year,A695664,Dog,,Return to Owner,Neutered Male
4 months,A695665,Cat,SCRP,Transfer,Intact Female
4 months,A695666,Cat,SCRP,Transfer,Intact Male
5 months,A695667,Cat,SCRP,Transfer,Intact Male
5 months,A695668,Cat,SCRP,Transfer,Intact Female
2 years,A695669,Dog,Partner,Transfer,Neutered Male
2 years,A695669,Dog,,Adoption,Neutered Male
1 month,A695670,Dog,Suffering,Euthanasia,Intact Male
5 years,A695671,Cat,Partner,Transfer,Neutered Male
11 years,A695672,Dog,Suffering,Euthanasia,Unknown
6 months,A695673,Dog,,Return to Owner,Spayed Female
4 years,A695674,Dog,Partner,Transfer,Neutered Male
5 months,A695675,Dog,,Adoption,Neutered Male
4 years,A695676,Cat,,Return to Owner,Neutered Male
1 year,A695677,Dog,,Adoption,Neutered Male
2 years,A695679,Dog,,Adoption,Neutered Male
2 years,A695679,Dog,Partner,Transfer,Neutered Male
2 years,A695680,Dog,,Adoption,Neutered Male
4 years,A695683,Dog,,Return to Owner,Neutered Male
8 months,A695685,Cat,,Adoption,Spayed Female
1 year,A695686,Dog,,Return to Owner,Spayed Female
1 year,A695686,Dog,,Return to Owner,Spayed Female
2 years,A695687,Dog,,Return to Owner,Neutered Male
1 year,A695688,Dog,,Return to Owner,Neutered Male
9 months,A695689,Dog,,Return to Owner,Neutered Male
1 year,A695690,Cat,,Return to Owner,Spayed Female
1 year,A695691,Dog,,Adoption,Spayed Female
3 years,A695692,Dog,,Adoption,Spayed Female
5 years,A695693,Cat,,Adoption,Spayed Female
5 years,A695694,Cat,,Adoption,Neutered Male
5 years,A695695,Dog,,Return to Owner,Neutered Male
6 months,A695696,Cat,,Return to Owner,Spayed Female
5 months,A695697,Cat,SCRP,Transfer,Intact Female
3 years,A695698,Dog,,Return to Owner,Intact Female
1 year,A695699,Dog,,Return to Owner,Intact Female
3 years,A695701,Dog,,Adoption,Spayed Female
1 year,A695702,Dog,,Adoption,Neutered Male
1 year,A695702,Dog,,Adoption,Neutered Male
1 year,A695703,Dog,,Adoption,Neutered Male
4 years,A695705,Dog,Partner,Transfer,Intact Female
2 years,A695706,Cat,SCRP,Transfer,Unknown
2 years,A695707,Dog,Partner,Transfer,Spayed Female
3 years,A695709,Dog,Rabies Risk,Euthanasia,Neutered Male
3 years,A695709,Dog,,Adoption,Neutered Male
5 months,A695710,Dog,,Adoption,Spayed Female
11 months,A695710,Dog,Partner,Transfer,Spayed Female
1 year,A695715,Dog,,Return to Owner,Neutered Male
1 month,A695716,Dog,Partner,Transfer,Intact Female
1 year,A695717,Dog,,Adoption,Neutered Male
3 years,A695717,Dog,,Return to Owner,Neutered Male
3 years,A695717,Dog,,Return to Owner,Neutered Male
1 year,A695717,Dog,,Adoption,Neutered Male
1 year,A695718,Dog,Partner,Transfer,Intact Male
1 year,A695719,Cat,SCRP,Transfer,Unknown
1 year,A695720,Cat,SCRP,Transfer,Intact Female
8 months,A695722,Dog,,Adoption,Spayed Female
6 years,A695723,Cat,Suffering,Euthanasia,Intact Female
4 years,A695724,Cat,,Adoption,Neutered Male
4 years,A695725,Dog,,Return to Owner,Neutered Male
5 years,A695726,Cat,Suffering,Euthanasia,Neutered Male
1 year,A695728,Dog,,Return to Owner,Neutered Male
1 year,A695728,Dog,,Adoption,Neutered Male
1 year,A695728,Dog,,Return to Owner,Neutered Male
6 years,A695730,Dog,,Return to Owner,Neutered Male
1 year,A695731,Dog,,Return to Owner,Intact Female
1 year,A695732,Cat,SCRP,Transfer,Spayed Female
1 year,A695732,Cat,,Adoption,Spayed Female
3 months,A695733,Cat,,Adoption,Neutered Male
2 years,A695734,Dog,Partner,Transfer,Spayed Female
2 years,A695735,Dog,,Return to Owner,Intact Male
3 years,A695739,Cat,SCRP,Transfer,Intact Male
1 year,A695741,Dog,,Adoption,Spayed Female
1 year,A695741,Dog,,Adoption,Spayed Female
3 years,A695743,Dog,,Adoption,Neutered Male
3 years,A695743,Dog,,Return to Owner,Neutered Male
1 year,A695744,Dog,,Adoption,Neutered Male
1 year,A695745,Cat,SCRP,Transfer,Intact Male
2 years,A695747,Dog,,Return to Owner,Intact Male
2 months,A695749,Dog,,Adoption,Neutered Male
13 years,A695750,Dog,Suffering,Euthanasia,Intact Female
1 year,A695751,Dog,,Adoption,Neutered Male
14 years,A695753,Dog,,Return to Owner,Intact Male
6 years,A695758,Dog,,Return to Owner,Neutered Male
1 year,A695759,Cat,Suffering,Euthanasia,Intact Female
3 years,A695762,Dog,,Adoption,Neutered Male
3 years,A695762,Dog,,Adoption,Neutered Male
3 years,A695763,Cat,,Adoption,Spayed Female
8 years,A695764,Cat,SCRP,Transfer,Spayed Female
1 year,A695768,Dog,,Return to Owner,Spayed Female
2 months,A695769,Cat,,Adoption,Spayed Female
2 months,A695770,Cat,,Adoption,Spayed Female
10 months,A695771,Cat,Partner,Transfer,Neutered Male
1 year,A695773,Cat,,Adoption,Spayed Female
5 years,A695774,Dog,,Adoption,Spayed Female
2 years,A695775,Dog,,Return to Owner,Intact Male
1 year,A695777,Dog,Rabies Risk,Euthanasia,Neutered Male
3 years,A695778,Dog,,Adoption,Neutered Male
3 years,A695778,Dog,,Adoption,Neutered Male
3 years,A695779,Dog,Foster,Adoption,Spayed Female
1 year,A695780,Dog,,Adoption,Neutered Male
4 months,A695781,Cat,,Adoption,Neutered Male
4 months,A695782,Cat,Foster,Adoption,Spayed Female
1 year,A695783,Dog,Partner,Transfer,Neutered Male
4 months,A695784,Cat,Foster,Adoption,Neutered Male
4 months,A695785,Cat,,Adoption,Neutered Male
4 months,A695786,Cat,,Adoption,Neutered Male
3 years,A695787,Dog,,Return to Owner,Neutered Male
5 years,A695788,Dog,Suffering,Euthanasia,Spayed Female
4 years,A695790,Dog,Partner,Transfer,Neutered Male
2 months,A695791,Dog,,Adoption,Spayed Female
2 years,A695793,Dog,,Adoption,Neutered Male
1 year,A695794,Dog,,Adoption,Spayed Female
8 years,A695795,Cat,Partner,Transfer,Neutered Male
6 months,A695796,Cat,Partner,Transfer,Spayed Female
3 years,A695797,Cat,,Return to Owner,Neutered Male
10 months,A695798,Cat,Suffering,Euthanasia,Neutered Male
10 months,A695798,Cat,Suffering,Euthanasia,Neutered Male
3 years,A695799,Dog,Aggressive,Euthanasia,Neutered Male
7 months,A695800,Dog,,Adoption,Neutered Male
2 years,A695801,Dog,Partner,Transfer,Intact Female
2 years,A695802,Dog,Partner,Transfer,Spayed Female
2 years,A695804,Dog,Partner,Transfer,Neutered Male
8 years,A695807,Dog,,Adoption,Neutered Male
5 years,A695808,Dog,,Adoption,Neutered Male
1 year,A695809,Dog,,Adoption,Spayed Female
1 year,A695816,Dog,Partner,Transfer,Neutered Male
4 years,A695817,Dog,Partner,Transfer,Spayed Female
2 months,A695818,Dog,,Adoption,Spayed Female
2 years,A695820,Dog,,Adoption,Spayed Female
1 month,A695821,Dog,Foster,Adoption,Spayed Female
1 month,A695822,Dog,,Adoption,Spayed Female
1 month,A695823,Dog,Foster,Adoption,Neutered Male
1 month,A695824,Dog,Foster,Adoption,Spayed Female
6 months,A695827,Cat,SCRP,Transfer,Intact Male
1 year,A695830,Dog,,Return to Owner,Neutered Male
3 years,A695830,Dog,,Return to Owner,Neutered Male
3 years,A695830,Dog,,Return to Owner,Neutered Male
1 year,A695830,Dog,,Return to Owner,Neutered Male
10 months,A695833,Dog,Partner,Transfer,Intact Male
3 years,A695837,Dog,,Adoption,Neutered Male
4 years,A695839,Dog,,Return to Owner,Spayed Female
2 years,A695840,Cat,SCRP,Transfer,Unknown
2 years,A695842,Dog,Partner,Transfer,Intact Female
1 year,A695843,Dog,,Adoption,Neutered Male
2 years,A695844,Dog,,Adoption,Neutered Male
2 years,A695844,Dog,,Adoption,Neutered Male
2 years,A695845,Dog,Partner,Transfer,Spayed Female
2 years,A695846,Dog,,Adoption,Spayed Female
2 years,A695847,Cat,SCRP,Transfer,Intact Male
2 years,A695850,Dog,,Adoption,Spayed Female
1 year,A695852,Dog,,Return to Owner,Neutered Male
2 years,A695854,Dog,,Adoption,Neutered Male
4 months,A695855,Cat,,Adoption,Neutered Male
1 year,A695856,Dog,,Adoption,Intact Female
1 year,A695857,Dog,,Return to Owner,Spayed Female
1 year,A695857,Dog,,Return to Owner,Spayed Female
2 years,A695857,Dog,,Return to Owner,Spayed Female
2 years,A695857,Dog,,Return to Owner,Spayed Female
2 years,A695857,Dog,,Return to Owner,Spayed Female
2 years,A695857,Dog,,Return to Owner,Spayed Female
2 years,A695859,Dog,Foster,Adoption,Spayed Female
5 years,A695860,Dog,,Adoption,Neutered Male
7 years,A695861,Cat,,Adoption,Spayed Female
7 years,A695864,Cat,,Adoption,Spayed Female
4 years,A695867,Dog,,Return to Owner,Neutered Male
4 years,A695867,Dog,,Return to Owner,Neutered Male
1 year,A695869,Cat,SCRP,Transfer,Intact Female
2 months,A695871,Cat,Foster,Adoption,Spayed Female
2 months,A695872,Cat,Foster,Adoption,Spayed Female
2 months,A695873,Cat,Foster,Adoption,Spayed Female
2 months,A695874,Cat,Foster,Adoption,Spayed Female
1 year,A695876,Cat,SCRP,Transfer,Intact Female
1 year,A695877,Dog,,Adoption,Neutered Male
3 years,A695877,Dog,,Adoption,Neutered Male
2 years,A695878,Cat,SCRP,Transfer,Unknown
2 years,A695879,Cat,SCRP,Transfer,Unknown
10 years,A695880,Dog,,Return to Owner,Spayed Female
5 years,A695881,Dog,Partner,Transfer,Neutered Male
3 years,A695882,Dog,Foster,Adoption,Spayed Female
5 years,A695883,Dog,Aggressive,Euthanasia,Neutered Male
3 years,A695884,Dog,,Adoption,Neutered Male
3 years,A695884,Dog,Partner,Transfer,Neutered Male
6 years,A695885,Dog,,Adoption,Spayed Female
8 years,A695887,Dog,,Return to Owner,Spayed Female
9 years,A695891,Dog,,Return to Owner,Spayed Female
3 years,A695892,Cat,,Adoption,Spayed Female
1 year,A695893,Cat,Partner,Transfer,Spayed Female
3 years,A695894,Cat,,Adoption,Spayed Female
3 years,A695896,Dog,Foster,Adoption,Neutered Male
1 month,A695897,Dog,Partner,Transfer,Intact Male
1 year,A695901,Dog,Partner,Transfer,Intact Male
2 years,A695902,Dog,,Adoption,Neutered Male
2 months,A695903,Dog,,Adoption,Spayed Female
2 months,A695904,Dog,,Adoption,Neutered Male
2 months,A695904,Dog,,Adoption,Neutered Male
7 months,A695904,Dog,Partner,Transfer,Neutered Male
2 months,A695905,Dog,,Adoption,Spayed Female
2 months,A695906,Dog,,Adoption,Neutered Male
2 months,A695907,Dog,,Adoption,Spayed Female
2 months,A695908,Dog,,Adoption,Spayed Female
2 months,A695909,Dog,,Adoption,Neutered Male
2 months,A695910,Dog,,Adoption,Spayed Female
8 months,A695911,Dog,,Adoption,Neutered Male
1 year,A695912,Cat,SCRP,Transfer,Intact Male
8 years,A695914,Cat,,Adoption,Neutered Male
1 year,A695915,Dog,,Adoption,Neutered Male
2 years,A695916,Dog,,Adoption,Spayed Female
2 months,A695917,Dog,,Adoption,Spayed Female
1 month,A695918,Dog,,Adoption,Spayed Female
2 years,A695919,Dog,,Adoption,Neutered Male
8 months,A695920,Dog,,Adoption,Spayed Female
