age_upon_intake,animal_id,animal_type,intake_condition,intake_type,sex_upon_intake
2 years,A703664,Cat,Injured,Stray,Intact Male
1 year,A703665,Dog,Normal,Stray,Intact Female
2 years,A703667,Dog,Normal,Stray,Intact Male
1 year,A703668,Cat,Normal,Stray,Intact Female
2 years,A703669,Cat,Normal,Owner Surrender,Intact Female
1 month,A703670,Cat,Normal,Owner Surrender,Intact Male
1 month,A703671,Cat,Normal,Owner Surrender,Intact Male
1 month,A703672,Cat,Normal,Stray,Intact Male
11 months,A703672,Cat,Normal,Stray,Neutered Male
11 months,A703672,Cat,Normal,Owner Surrender,Neutered Male
1 month,A703673,Cat,Normal,Owner Surrender,Intact Female
2 years,A703674,Cat,Normal,Owner Surrender,Intact Female
3 weeks,A703675,Cat,Normal,Owner Surrender,Intact Male
3 months,A703676,Cat,Sick,Owner Surrender,Intact Male
3 weeks,A703676,Cat,Normal,Owner Surrender,Intact Male
3 weeks,A703677,Cat,Normal,Owner Surrender,Intact Male
3 weeks,A703678,Cat,Normal,Owner Surrender,Intact Female
3 weeks,A703679,Cat,Normal,Owner Surrender,Intact Male
1 month,A703680,Cat,Normal,Stray,Intact Female
3 weeks,A703681,Cat,Normal,Owner Surrender,Intact Male
3 weeks,A703682,Cat,Normal,Owner Surrender,Intact Male
1 month,A703683,Cat,Normal,Stray,Intact Female
3 weeks,A703684,Cat,Normal,Owner Surrender,Intact Female
3 weeks,A703685,Cat,Normal,Owner Surrender,Intact Male
1 month,A703686,Cat,Normal,Stray,Intact Female
1 month,A703687,Cat,Normal,Stray,Intact Male
1 month,A703688,Cat,Normal,Stray,Intact Male
2 weeks,A703689,Cat,Nursing,Stray,Unknown
2 weeks,A703690,Cat,Nursing,Stray,Unknown
2 weeks,A703691,Cat,Nursing,Stray,Unknown
1 year,A703698,Dog,Normal,Public Assist,Intact Male
1 year,A703699,Dog,Normal,Public Assist,Spayed Female
15 years,A703700,Cat,Aged,Stray,Intact Female
1 year,A703701,Cat,Normal,Stray,Neutered Male
1 month,A703701,Cat,Sick,Stray,Intact Male
2 years,A703711,Dog,Normal,Stray,Neutered Male
5 months,A703711,Dog,Normal,Stray,Neutered Male
4 months,A703711,Dog,Normal,Stray,Intact Male
5 months,A703711,Dog,Normal,Stray,Neutered Male
4 weeks,A703712,Cat,Normal,Stray,Intact Male
2 years,A703713,Dog,Normal,Stray,Neutered Male
5 years,A703715,Dog,Normal,Stray,Neutered Male
4 months,A703716,Dog,Normal,Stray,Intact Male
5 months,A703717,Dog,Normal,Stray,Intact Male
10 months,A703717,Dog,Nursing,Stray,Neutered Male
5 months,A703718,Dog,Normal,Stray,Intact Male
10 months,A703718,Dog,Normal,Stray,Neutered Male
6 years,A703719,Cat,Normal,Public Assist,Spayed Female
1 day,A703720,Dog,Nursing,Stray,Unknown
1 day,A703721,Dog,Nursing,Stray,Unknown
4 months,A703722,Dog,Normal,Owner Surrender,Neutered Male
2 years,A703723,Dog,Normal,Owner Surrender,Spayed Female
2 years,A703723,Dog,Normal,Owner Surrender,Spayed Female
2 years,A703723,Dog,Normal,Stray,Intact Female
5 weeks,A703724,Cat,Normal,Stray,Intact Male
4 weeks,A703726,Cat,Normal,Stray,Intact Female
5 weeks,A703727,Cat,Normal,Stray,Intact Male
2 years,A703728,Cat,Normal,Stray,Intact Female
1 month,A703729,Cat,Normal,Stray,Intact Male
1 month,A703730,Cat,Normal,Stray,Intact Male
1 month,A703731,Cat,Normal,Stray,Intact Male
1 month,A703732,Cat,Normal,Stray,Intact Female
5 weeks,A703733,Cat,Normal,Stray,Intact Female
2 years,A703734,Dog,Normal,Stray,Intact Female
4 weeks,A703735,Cat,Normal,Stray,Intact Female
4 weeks,A703736,Cat,Normal,Stray,Intact Female
4 years,A703737,Dog,Normal,Stray,Neutered Male
1 month,A703741,Cat,Normal,Stray,Intact Male
1 month,A703742,Cat,Injured,Stray,Intact Female
1 year,A703743,Dog,Normal,Public Assist,Neutered Male
2 months,A703744,Cat,Normal,Stray,Intact Female
12 years,A703745,Dog,Normal,Stray,Spayed Female
3 years,A703747,Cat,Normal,Stray,Spayed Female
3 years,A703748,Cat,Normal,Stray,Intact Male
14 years,A703749,Cat,Normal,Owner Surrender,Intact Female
3 years,A703750,Dog,Normal,Stray,Intact Male
1 year,A703751,Dog,Normal,Stray,Intact Male
14 years,A703752,Dog,Aged,Stray,Spayed Female
2 years,A703755,Cat,Normal,Stray,Neutered Male
3 years,A703756,Dog,Normal,Public Assist,Neutered Male
4 years,A703757,Dog,Normal,Stray,Intact Male
5 years,A703757,Dog,Normal,Stray,Neutered Male
1 year,A703762,Dog,Normal,Stray,Intact Male
1 year,A703764,Dog,Normal,Stray,Intact Female
1 month,A703765,Cat,Normal,Stray,Intact Male
2 years,A703766,Dog,Normal,Stray,Neutered Male
2 years,A703766,Dog,Normal,Stray,Intact Male
3 years,A703767,Cat,Normal,Owner Surrender,Spayed Female
2 years,A703768,Cat,Normal,Owner Surrender,Intact Female
1 year,A703769,Dog,Normal,Stray,Intact Male
2 years,A703769,Dog,Normal,Stray,Intact Male
4 weeks,A703770,Cat,Normal,Stray,Intact Female
1 month,A703771,Cat,Sick,Stray,Intact Male
11 months,A703773,Dog,Normal,Stray,Spayed Female
1 year,A703773,Dog,Normal,Stray,Spayed Female
1 year,A703776,Cat,Sick,Stray,Intact Female
1 month,A703777,Cat,Normal,Stray,Intact Female
1 month,A703778,Cat,Normal,Stray,Intact Male
1 year,A703780,Dog,Normal,Stray,Intact Female
5 years,A703781,Dog,Normal,Stray,Intact Male
1 year,A703782,Dog,Normal,Stray,Intact Male
5 months,A703783,Dog,Normal,Owner Surrender,Neutered Male
4 months,A703783,Dog,Normal,Stray,Intact Male
1 year,A703784,Dog,Normal,Stray,Intact Male
2 years,A703785,Cat,Normal,Stray,Spayed Female
4 years,A703787,Dog,Normal,Stray,Spayed Female
2 years,A703788,Dog,Normal,Stray,Intact Female
14 years,A703792,Dog,Normal,Stray,Spayed Female
4 weeks,A703793,Cat,Normal,Stray,Intact Male
14 years,A703795,Cat,Normal,Owner Surrender,Neutered Male
3 weeks,A703799,Cat,Sick,Stray,Intact Female
1 month,A703800,Cat,Normal,Stray,Intact Female
1 month,A703801,Cat,Normal,Stray,Intact Male
1 month,A703802,Cat,Normal,Stray,Intact Male
1 year,A703803,Cat,Normal,Stray,Intact Female
3 weeks,A703804,Cat,Normal,Stray,Intact Female
2 weeks,A703805,Cat,Normal,Stray,Intact Female
4 weeks,A703806,Cat,Normal,Stray,Intact Female
4 weeks,A703807,Cat,Normal,Stray,Intact Male
4 weeks,A703808,Cat,Normal,Stray,Intact Male
5 months,A703809,Dog,Sick,Stray,Spayed Female
1 month,A703809,Dog,Normal,Stray,Intact Female
4 months,A703810,Dog,Normal,Stray,Intact Female
4 months,A703811,Dog,Normal,Stray,Intact Female
1 month,A703813,Cat,Normal,Stray,Intact Male
1 month,A703814,Cat,Normal,Stray,Intact Male
1 month,A703815,Cat,Normal,Stray,Intact Female
2 years,A703816,Dog,Normal,Stray,Intact Male
1 month,A703823,Dog,Normal,Stray,Intact Female
1 year,A703824,Dog,Normal,Stray,Intact Male
2 years,A703832,Cat,Normal,Stray,Intact Female
2 months,A703833,Cat,Normal,Stray,Intact Male
2 years,A703834,Dog,Normal,Stray,Intact Female
2 months,A703835,Cat,Normal,Stray,Intact Male
1 month,A703836,Cat,Normal,Stray,Intact Female
2 months,A703837,Cat,Normal,Stray,Intact Female
4 months,A703838,Dog,Normal,Stray,Intact Male
9 months,A703839,Dog,Normal,Stray,Intact Male
2 years,A703840,Dog,Normal,Stray,Intact Male
2 years,A703841,Dog,Normal,Stray,Intact Male
4 years,A703842,Dog,Normal,Owner Surrender,Spayed Female
3 years,A703845,Dog,Normal,Stray,Neutered Male
4 years,A703848,Dog,Normal,Public Assist,Intact Female
3 days,A703849,Dog,Normal,Public Assist,Intact Female
3 days,A703850,Dog,Normal,Public Assist,Intact Male
3 days,A703851,Dog,Normal,Public Assist,Intact Male
4 years,A703852,Dog,Normal,Public Assist,Intact Male
9 years,A703856,Dog,Normal,Stray,Spayed Female
3 weeks,A703857,Cat,Nursing,Stray,Unknown
1 year,A703862,Cat,Normal,Stray,Intact Female
4 weeks,A703863,Cat,Normal,Stray,Intact Male
4 weeks,A703864,Cat,Normal,Stray,Intact Female
3 weeks,A703865,Cat,Normal,Stray,Intact Female
3 weeks,A703866,Cat,Normal,Stray,Intact Male
3 weeks,A703867,Cat,Normal,Stray,Intact Female
3 weeks,A703868,Cat,Normal,Stray,Intact Female
3 weeks,A703869,Cat,Normal,Stray,Intact Female
3 weeks,A703870,Cat,Normal,Stray,Intact Female
3 weeks,A703871,Cat,Normal,Stray,Intact Male
3 weeks,A703872,Cat,Normal,Stray,Intact Male
3 weeks,A703873,Cat,Normal,Stray,Intact Male
1 month,A703874,Dog,Normal,Stray,Intact Male
2 years,A703876,Dog,Normal,Owner Surrender,Neutered Male
2 years,A703876,Dog,Normal,Stray,Neutered Male
1 year,A703877,Dog,Normal,Stray,Intact Male
1 month,A703878,Cat,Normal,Stray,Intact Female
2 years,A703879,Cat,Normal,Stray,Spayed Female
1 day,A703880,Cat,Nursing,Stray,Unknown
2 months,A703886,Dog,Injured,Stray,Intact Female
3 weeks,A703887,Cat,Injured,Stray,Intact Female
1 year,A703888,Dog,Injured,Stray,Intact Male
5 years,A703889,Dog,Normal,Stray,Intact Male
2 years,A703891,Cat,Normal,Stray,Intact Male
12 years,A703892,Dog,Normal,Stray,Intact Female
4 weeks,A703893,Cat,Normal,Stray,Intact Female
4 weeks,A703894,Cat,Normal,Stray,Intact Male
1 day,A703895,Cat,Nursing,Stray,Unknown
1 day,A703896,Cat,Nursing,Stray,Unknown
2 years,A703899,Dog,Normal,Stray,Intact Female
2 years,A703901,Dog,Normal,Stray,Intact Male
3 years,A703902,Dog,Normal,Stray,Neutered Male
1 month,A703903,Cat,Normal,Stray,Intact Male
5 months,A703905,Cat,Normal,Owner Surrender,Intact Female
5 months,A703906,Cat,Normal,Owner Surrender,Intact Female
3 weeks,A703907,Cat,Normal,Stray,Intact Male
3 weeks,A703908,Cat,Normal,Stray,Intact Male
3 weeks,A703909,Cat,Normal,Stray,Intact Male
3 weeks,A703910,Cat,Normal,Stray,Intact Female
3 weeks,A703911,Cat,Normal,Stray,Intact Male
3 weeks,A703912,Cat,Normal,Stray,Intact Male
1 year,A703913,Dog,Normal,Stray,Intact Female
10 years,A703914,Cat,Aged,Stray,Intact Female
2 years,A703915,Dog,Normal,Stray,Neutered Male
1 year,A703916,Cat,Normal,Owner Surrender,Intact Female
1 month,A703917,Cat,Normal,Owner Surrender,Intact Male
1 month,A703918,Cat,Normal,Owner Surrender,Intact Female
1 month,A703919,Cat,Normal,Owner Surrender,Intact Male
1 month,A703920,Cat,Normal,Owner Surrender,Intact Female
4 weeks,A703921,Cat,Sick,Stray,Intact Female
1 month,A703922,Cat,Normal,Stray,Intact Female
2 months,A703923,Cat,Normal,Owner Surrender,Intact Female
11 months,A703923,Cat,Normal,Owner Surrender,Spayed Female
3 months,A703924,Cat,Normal,Owner Surrender,Intact Male
4 months,A703924,Cat,Normal,Owner Surrender,Neutered Male
2 days,A703925,Cat,Normal,Stray,Unknown
1 month,A703926,Cat,Normal,Stray,Intact Male
4 weeks,A703927,Cat,Normal,Stray,Intact Female
4 weeks,A703928,Cat,Normal,Stray,Intact Female
4 weeks,A703930,Cat,Normal,Stray,Intact Female
4 weeks,A703931,Cat,Normal,Stray,Intact Female
4 weeks,A703932,Cat,Normal,Stray,Intact Male
2 years,A703933,Dog,Normal,Stray,Spayed Female
3 years,A703935,Dog,Normal,Stray,Neutered Male
2 years,A703936,Dog,Normal,Stray,Intact Female
1 year,A703936,Dog,Normal,Stray,Intact Female
2 years,A703937,Dog,Injured,Stray,Intact Male
7 months,A703938,Dog,Normal,Stray,Intact Female
3 weeks,A703939,Cat,Normal,Stray,Intact Male
2 years,A703940,Dog,Injured,Stray,Neutered Male
1 year,A703942,Dog,Normal,Stray,Intact Female
1 year,A703943,Dog,Normal,Stray,Intact Female
4 weeks,A703946,Cat,Normal,Stray,Intact Female
4 weeks,A703947,Cat,Normal,Stray,Intact Female
2 months,A703948,Cat,Normal,Stray,Intact Female
4 weeks,A703949,Cat,Normal,Stray,Intact Female
7 years,A703950,Dog,Normal,Stray,Neutered Male
4 weeks,A703952,Cat,Normal,Owner Surrender,Unknown
9 years,A703955,Dog,Normal,Stray,Spayed Female
14 years,A703956,Dog,Normal,Stray,Spayed Female
3 days,A703958,Cat,Nursing,Stray,Unknown
3 days,A703959,Cat,Nursing,Stray,Unknown
3 days,A703960,Cat,Nursing,Stray,Unknown
3 days,A703961,Cat,Nursing,Stray,Unknown
3 days,A703962,Cat,Nursing,Stray,Unknown
3 days,A703963,Cat,Nursing,Stray,Unknown
1 year,A703968,Cat,Sick,Stray,Intact Male
3 years,A703972,Dog,Normal,Stray,Spayed Female
1 year,A703973,Dog,Normal,Stray,Intact Male
1 year,A703974,Dog,Normal,Owner Surrender,Intact Female
1 year,A703975,Dog,Normal,Owner Surrender,Intact Female
5 years,A703976,Dog,Normal,Owner Surrender,Spayed Female
5 years,A703978,Dog,Normal,Stray,Neutered Male
1 month,A703979,Cat,Normal,Stray,Intact Male
1 month,A703980,Cat,Normal,Stray,Intact Female
2 years,A703981,Dog,Normal,Stray,Intact Male
2 years,A703982,Dog,Normal,Stray,Spayed Female
10 months,A703983,Dog,Normal,Stray,Intact Female
1 year,A703983,Dog,Normal,Stray,Spayed Female
3 years,A703985,Dog,Normal,Owner Surrender,Neutered Male
1 year,A703986,Dog,Normal,Stray,Intact Male
4 weeks,A703987,Cat,Normal,Stray,Intact Male
4 weeks,A703988,Cat,Normal,Stray,Intact Female
1 year,A703989,Cat,Normal,Stray,Spayed Female
1 month,A703990,Cat,Normal,Stray,Intact Male
1 year,A703992,Dog,Normal,Stray,Intact Female
3 weeks,A703993,Cat,Sick,Stray,Intact Female
7 months,A703994,Cat,Sick,Stray,Intact Female
4 weeks,A703997,Cat,Normal,Stray,Unknown
1 year,A703998,Cat,Normal,Owner Surrender,Intact Female
10 months,A703999,Dog,Normal,Owner Surrender,Intact Female
5 years,A704000,Dog,Normal,Owner Surrender,Spayed Female
3 years,A704001,Dog,Normal,Stray,Intact Female
9 months,A704002,Dog,Normal,Owner Surrender,Intact Female
2 years,A704003,Dog,Normal,Stray,Intact Male
9 years,A704004,Dog,Normal,Owner Surrender,Neutered Male
9 years,A704004,Dog,Normal,Stray,Neutered Male
9 years,A704004,Dog,Normal,Owner Surrender,Neutered Male
9 years,A704004,Dog,Normal,Owner Surrender,Neutered Male
8 years,A704004,Dog,Normal,Stray,Neutered Male
4 weeks,A704005,Cat,Normal,Stray,Intact Female
4 weeks,A704006,Cat,Normal,Stray,Intact Male
2 years,A704007,Dog,Normal,Stray,Intact Male
7 months,A704008,Dog,Normal,Stray,Intact Female
5 years,A704011,Dog,Normal,Public Assist,Spayed Female
1 year,A704012,Dog,Normal,Stray,Neutered Male
3 days,A704016,Cat,Nursing,Stray,Unknown
3 days,A704017,Cat,Nursing,Stray,Unknown
3 days,A704018,Cat,Nursing,Stray,Unknown
3 days,A704019,Cat,Nursing,Stray,Unknown
3 days,A704020,Cat,Nursing,Stray,Unknown
10 years,A704021,Cat,Normal,Stray,Spayed Female
3 days,A704022,Cat,Nursing,Stray,Unknown
7 years,A704023,Dog,Normal,Stray,Intact Male
1 month,A704029,Cat,Normal,Owner Surrender,Intact Female
1 month,A704030,Cat,Normal,Owner Surrender,Intact Male
1 month,A704031,Cat,Normal,Owner Surrender,Intact Female
2 months,A704032,Cat,Normal,Owner Surrender,Intact Female
2 months,A704033,Cat,Normal,Owner Surrender,Intact Male
12 years,A704034,Dog,Normal,Stray,Intact Male
1 year,A704035,Cat,Normal,Stray,Intact Female
1 year,A704036,Cat,Normal,Stray,Intact Female
1 year,A704037,Cat,Normal,Stray,Intact Female
2 years,A704038,Cat,Injured,Stray,Intact Male
11 months,A704039,Cat,Normal,Owner Surrender,Neutered Male
1 month,A704039,Cat,Normal,Stray,Intact Male
1 month,A704040,Cat,Normal,Stray,Intact Male
1 month,A704041,Cat,Normal,Stray,Intact Female
3 weeks,A704042,Cat,Normal,Stray,Unknown
3 weeks,A704043,Cat,Normal,Stray,Unknown
3 weeks,A704044,Cat,Normal,Stray,Unknown
3 weeks,A704045,Cat,Normal,Stray,Unknown
4 weeks,A704046,Cat,Normal,Stray,Intact Female
2 years,A704053,Dog,Sick,Stray,Intact Female
11 years,A704054,Dog,Normal,Stray,Intact Male
5 months,A704056,Dog,Normal,Stray,Intact Female
4 weeks,A704058,Cat,Injured,Stray,Intact Female
4 years,A704059,Dog,Normal,Stray,Intact Male
2 years,A704062,Cat,Normal,Stray,Intact Female
4 years,A704063,Dog,Normal,Public Assist,Neutered Male
2 years,A704063,Dog,Normal,Stray,Intact Male
7 years,A704064,Cat,Normal,Stray,Spayed Female
1 year,A704066,Dog,Normal,Stray,Intact Female
2 years,A704067,Dog,Normal,Stray,Intact Male
3 weeks,A704072,Cat,Normal,Stray,Intact Male
1 year,A704075,Dog,Normal,Stray,Spayed Female
8 years,A704076,Dog,Normal,Stray,Spayed Female
5 months,A704077,Dog,Normal,Stray,Intact Male
4 days,A704078,Cat,Normal,Stray,Unknown
4 days,A704079,Cat,Normal,Stray,Unknown
4 days,A704080,Cat,Normal,Stray,Unknown
2 years,A704082,Dog,Normal,Owner Surrender,Intact Female
1 month,A704083,Cat,Normal,Stray,Intact Male
4 years,A704085,Dog,Normal,Owner Surrender,Intact Male
5 months,A704087,Dog,Normal,Stray,Intact Male
4 weeks,A704088,Cat,Normal,Stray,Intact Female
4 weeks,A704089,Cat,Normal,Stray,Intact Male
4 weeks,A704090,Cat,Normal,Stray,Intact Male
6 months,A704091,Dog,Normal,Stray,Intact Female
1 year,A704093,Dog,Normal,Stray,Intact Female
2 months,A704094,Dog,Normal,Stray,Intact Female
2 months,A704095,Dog,Normal,Stray,Intact Female
2 years,A704096,Dog,Normal,Stray,Intact Female
3 years,A704096,Dog,Normal,Stray,Spayed Female
9 months,A704099,Dog,Normal,Public Assist,Intact Female
1 week,A704100,Dog,Nursing,Public Assist,Intact Female
3 years,A704101,Dog,Normal,Stray,Intact Male
2 years,A704101,Dog,Normal,Stray,Intact Male
1 year,A704102,Cat,Normal,Stray,Intact Female
2 months,A704103,Cat,Normal,Stray,Intact Female
2 months,A704104,Cat,Normal,Stray,Intact Female
2 months,A704105,Cat,Normal,Stray,Intact Female
2 months,A704106,Cat,Normal,Stray,Intact Female
1 month,A704107,Dog,Normal,Stray,Intact Female
1 month,A704108,Dog,Normal,Stray,Intact Male
3 weeks,A704109,Cat,Normal,Stray,Intact Male
1 month,A704110,Cat,Normal,Stray,Intact Male
1 month,A704111,Cat,Normal,Stray,Intact Male
1 month,A704112,Cat,Normal,Stray,Intact Female
1 month,A704113,Cat,Normal,Stray,Intact Male
8 years,A704114,Dog,Normal,Stray,Neutered Male
8 years,A704114,Dog,Normal,Owner Surrender,Neutered Male
1 month,A704115,Cat,Sick,Stray,Unknown
4 months,A704117,Dog,Normal,Stray,Intact Female
1 month,A704118,Cat,Normal,Stray,Intact Male
1 month,A704119,Cat,Normal,Stray,Intact Female
2 years,A704121,Dog,Normal,Stray,Spayed Female
2 years,A704123,Dog,Normal,Owner Surrender,Neutered Male
2 years,A704123,Dog,Normal,Stray,Intact Male
1 month,A704124,Dog,Normal,Stray,Intact Female
6 years,A704125,Dog,Normal,Public Assist,Spayed Female
4 weeks,A704126,Cat,Normal,Stray,Intact Male
4 weeks,A704127,Cat,Normal,Stray,Intact Female
4 weeks,A704128,Cat,Normal,Stray,Intact Female
13 years,A704130,Dog,Sick,Euthanasia Request,Spayed Female
3 months,A704131,Dog,Normal,Public Assist,Intact Male
4 years,A704132,Dog,Normal,Public Assist,Neutered Male
2 years,A704132,Dog,Normal,Public Assist,Neutered Male
5 years,A704133,Cat,Normal,Stray,Neutered Male
1 month,A704134,Cat,Normal,Stray,Intact Female
5 years,A704135,Cat,Normal,Stray,Neutered Male
2 years,A704136,Dog,Normal,Stray,Intact Female
1 month,A704137,Cat,Normal,Stray,Intact Male
1 month,A704138,Cat,Normal,Stray,Intact Female
4 weeks,A704139,Cat,Normal,Stray,Intact Female
3 years,A704141,Cat,Sick,Stray,Neutered Male
12 years,A704142,Cat,Sick,Stray,Spayed Female
2 years,A704143,Dog,Normal,Public Assist,Intact Male
3 weeks,A704145,Cat,Normal,Stray,Intact Male
1 month,A704146,Cat,Injured,Stray,Intact Male
2 years,A704148,Dog,Normal,Owner Surrender,Neutered Male
2 years,A704148,Dog,Normal,Owner Surrender,Intact Male
2 years,A704152,Cat,Normal,Stray,Intact Male
4 months,A704156,Dog,Injured,Stray,Neutered Male
7 years,A704160,Dog,Normal,Stray,Spayed Female
3 weeks,A704161,Cat,Normal,Stray,Intact Male
3 weeks,A704162,Cat,Normal,Stray,Intact Male
3 weeks,A704163,Cat,Normal,Stray,Intact Male
3 weeks,A704164,Cat,Normal,Stray,Intact Male
1 year,A704165,Cat,Pregnant,Stray,Intact Female
3 months,A704166,Dog,Normal,Stray,Intact Female
5 weeks,A704167,Cat,Normal,Stray,Intact Female
5 weeks,A704168,Cat,Normal,Stray,Intact Male
5 weeks,A704169,Cat,Normal,Stray,Intact Female
5 weeks,A704170,Cat,Normal,Stray,Intact Male
4 years,A704172,Dog,Normal,Stray,Spayed Female
7 months,A704173,Dog,Injured,Stray,Intact Female
5 months,A704174,Dog,Normal,Stray,Spayed Female
2 months,A704178,Dog,Normal,Owner Surrender,Spayed Female
2 months,A704179,Dog,Normal,Owner Surrender,Neutered Male
7 months,A704180,Dog,Normal,Owner Surrender,Neutered Male
2 months,A704180,Dog,Normal,Owner Surrender,Neutered Male
2 months,A704181,Dog,Normal,Owner Surrender,Neutered Male
4 weeks,A704182,Cat,Normal,Stray,Intact Male
1 month,A704183,Cat,Normal,Stray,Intact Female
1 month,A704184,Cat,Normal,Stray,Intact Female
1 month,A704185,Cat,Normal,Stray,Intact Female
7 months,A704186,Cat,Normal,Stray,Intact Female
3 months,A704187,Dog,Normal,Stray,Intact Female
3 months,A704188,Dog,Normal,Stray,Intact Female
3 months,A704189,Cat,Normal,Stray,Unknown
3 years,A704190,Cat,Normal,Owner Surrender,Spayed Female
3 years,A704191,Cat,Normal,Owner Surrender,Neutered Male
1 month,A704192,Cat,Normal,Stray,Intact Male
2 months,A704193,Dog,Normal,Stray,Intact Female
4 years,A704194,Dog,Normal,Public Assist,Spayed Female
3 years,A704195,Dog,Normal,Public Assist,Neutered Male
1 month,A704198,Cat,Sick,Stray,Unknown
1 month,A704199,Cat,Normal,Stray,Unknown
1 month,A704200,Cat,Normal,Stray,Unknown
8 years,A704201,Cat,Sick,Stray,Intact Female
2 months,A704202,Cat,Normal,Stray,Intact Male
2 months,A704203,Cat,Normal,Stray,Intact Male
2 months,A704204,Cat,Normal,Stray,Intact Female
2 weeks,A704205,Cat,Normal,Stray,Unknown
2 weeks,A704206,Cat,Normal,Stray,Neutered Male
2 years,A704206,Cat,Normal,Owner Surrender,Neutered Male
2 weeks,A704207,Cat,Normal,Stray,Unknown
1 year,A704208,Dog,Normal,Stray,Intact Female
1 year,A704209,Dog,Normal,Stray,Intact Male
3 years,A704211,Dog,Normal,Owner Surrender,Spayed Female
3 years,A704211,Dog,Normal,Stray,Spayed Female
3 years,A704211,Dog,Normal,Public Assist,Spayed Female
3 years,A704211,Dog,Normal,Stray,Spayed Female
3 months,A704217,Dog,Sick,Owner Surrender,Intact Female
1 day,A704218,Dog,Nursing,Public Assist,Intact Female
1 day,A704219,Dog,Nursing,Public Assist,Intact Female
3 months,A704220,Dog,Normal,Stray,Neutered Male
1 day,A704220,Dog,Nursing,Public Assist,Intact Male
1 day,A704221,Dog,Nursing,Public Assist,Intact Male
2 years,A704223,Dog,Normal,Stray,Intact Male
1 year,A704224,Cat,Injured,Stray,Intact Male
1 year,A704225,Cat,Normal,Stray,Intact Female
1 year,A704225,Cat,Normal,Owner Surrender,Spayed Female
4 weeks,A704226,Cat,Normal,Stray,Intact Male
4 weeks,A704227,Cat,Normal,Stray,Intact Male
4 weeks,A704228,Cat,Normal,Stray,Intact Female
6 years,A704229,Dog,Normal,Owner Surrender,Spayed Female
6 years,A704229,Dog,Normal,Stray,Intact Female
4 weeks,A704231,Cat,Normal,Stray,Intact Female
4 weeks,A704232,Cat,Normal,Stray,Intact Male
3 years,A704234,Dog,Normal,Stray,Intact Female
3 years,A704235,Dog,Normal,Stray,Intact Male
1 year,A704237,Dog,Normal,Stray,Intact Male
4 months,A704238,Dog,Normal,Stray,Intact Female
1 year,A704239,Dog,Normal,Stray,Intact Male
3 years,A704240,Dog,Normal,Stray,Intact Male
1 year,A704241,Dog,Normal,Stray,Intact Female
1 year,A704241,Dog,Normal,Owner Surrender,Spayed Female
1 year,A704242,Cat,Normal,Stray,Intact Female
1 year,A704244,Cat,Normal,Stray,Intact Male
2 months,A704245,Dog,Normal,Stray,Intact Female
1 year,A704246,Dog,Normal,Owner Surrender,Neutered Male
1 year,A704246,Dog,Normal,Stray,Intact Male
1 year,A704247,Dog,Normal,Stray,Intact Female
1 year,A704247,Dog,Normal,Owner Surrender,Spayed Female
3 years,A704249,Dog,Normal,Stray,Intact Male
1 year,A704257,Dog,Injured,Stray,Intact Female
4 months,A704259,Cat,Injured,Stray,Intact Male
1 month,A704261,Dog,Normal,Stray,Intact Female
1 month,A704262,Dog,Normal,Stray,Intact Female
1 month,A704263,Dog,Normal,Stray,Intact Female
4 months,A704263,Dog,Normal,Owner Surrender,Spayed Female
5 years,A704264,Dog,Injured,Stray,Intact Female
1 year,A704265,Dog,Injured,Stray,Intact Male
1 month,A704266,Cat,Injured,Stray,Intact Male
3 years,A704267,Dog,Normal,Stray,Neutered Male
5 months,A704268,Dog,Normal,Stray,Intact Male
7 months,A704272,Dog,Normal,Stray,Intact Female
3 years,A704273,Dog,Normal,Stray,Intact Male
1 year,A704274,Dog,Normal,Owner Surrender,Neutered Male
1 year,A704274,Dog,Normal,Owner Surrender,Intact Male
2 years,A704276,Dog,Normal,Stray,Intact Female
2 years,A704278,Dog,Normal,Stray,Spayed Female
6 years,A704280,Cat,Normal,Stray,Spayed Female
2 years,A704281,Dog,Normal,Stray,Intact Female
13 years,A704286,Dog,Normal,Stray,Spayed Female
11 years,A704287,Dog,Normal,Stray,Intact Male
11 years,A704287,Dog,Normal,Stray,Intact Male
11 years,A704287,Dog,Normal,Stray,Intact Male
12 years,A704287,Dog,Normal,Stray,Intact Male
11 years,A704287,Dog,Normal,Stray,Intact Male
11 years,A704287,Dog,Normal,Stray,Intact Male
4 weeks,A704289,Cat,Normal,Stray,Intact Female
2 years,A704290,Dog,Normal,Stray,Intact Male
3 months,A704291,Dog,Normal,Owner Surrender,Intact Male
2 years,A704293,Dog,Normal,Stray,Intact Male
1 year,A704294,Cat,Injured,Stray,Intact Female
3 years,A704296,Dog,Normal,Stray,Neutered Male
1 month,A704297,Cat,Injured,Stray,Intact Male
2 years,A704298,Dog,Normal,Stray,Intact Female
6 years,A704299,Dog,Normal,Owner Surrender,Spayed Female
6 years,A704299,Dog,Normal,Owner Surrender,Spayed Female
8 years,A704300,Dog,Normal,Owner Surrender,Spayed Female
8 years,A704300,Dog,Normal,Owner Surrender,Spayed Female
1 year,A704302,Dog,Normal,Stray,Intact Female
1 year,A704303,Dog,Normal,Owner Surrender,Intact Female
10 months,A704306,Dog,Normal,Stray,Neutered Male
13 years,A704307,Dog,Normal,Stray,Intact Female
1 month,A704310,Cat,Normal,Stray,Intact Female
