State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Feline Total Intakes,Feline Total Euth,Canine Total Intake,Canine Total Euth
AL,2021,3282,7481,683,7,995,7181,147,1180,1136,90,374,13,11,2073,5742,10539,1824,34,1078,7681,2584,0,6118,90,260,13,37,2099,12448,2084,19217,2136
AR,2021,1129,2406,333,49,256,3274,125,163,194,198,83,5,3,244,1750,4487,419,32,354,3524,1482,4,1564,266,75,1,34,294,4173,247,7042,328
AZ,2021,9823,14545,1192,103,1681,17735,480,71,1468,3201,700,50,107,3363,11206,27297,5005,580,4793,29709,8784,0,5392,757,493,24,590,2346,27344,3470,48881,2936
CA,2021,16771,72028,13327,1216,7726,64086,2955,10259,13692,2358,3066,215,1020,11877,22453,64753,11058,3081,7539,52522,24714,79,17821,1485,770,89,2762,7388,111068,12897,108884,10150
CO,2021,13309,17291,7522,97,4607,29103,2295,3259,2772,333,681,40,92,3263,11067,15190,9815,347,3320,22847,11324,129,1766,132,145,14,301,2061,42826,3355,39739,2362
CT,2021,755,698,509,94,544,2050,43,37,117,52,70,2,91,63,319,292,412,165,475,916,251,0,137,45,7,0,170,34,2600,154,1663,204
DC,2021,812,2246,189,237,902,2955,147,615,77,13,85,0,193,241,868,1206,180,506,354,1645,650,0,119,6,35,2,430,168,4386,434,3114,598
DE,2021,589,606,7,0,56,1120,18,59,25,0,53,0,0,66,137,53,362,0,1,517,23,0,3,0,3,0,0,20,1258,66,553,20
FL,2021,23101,77172,10129,2059,4570,68580,1840,21349,10057,1191,3067,190,1552,9463,20038,35643,12521,3905,7203,46197,12398,1,9924,2508,458,66,3520,3850,117031,11015,79310,7370
GA,2021,10001,13426,9189,96,4587,23402,511,991,6103,2178,1188,30,63,2602,9586,13806,6902,161,5037,19511,4563,2,7105,1120,254,39,166,1759,37299,2665,35492,1925
HI,2021,2571,8163,182,274,59,5193,447,775,1099,0,174,66,109,2888,2571,4433,203,620,62,3628,2168,19,460,0,25,3,248,782,11249,2997,7889,1030
IA,2021,3903,6486,607,390,617,8120,556,724,739,10,349,146,387,746,3571,3621,1391,613,681,5299,2648,0,356,0,59,34,593,381,12003,1133,9877,974
ID,2021,3216,8055,761,192,615,8666,407,1753,436,388,246,29,178,882,3244,5360,2192,461,978,7139,3545,0,344,158,77,7,449,363,12839,1060,12235,812
IL,2021,7262,6255,9706,119,1361,19651,420,362,705,81,878,4,118,1364,4728,2549,12596,273,1167,17144,1816,0,638,220,233,1,275,861,24703,1482,21313,1136
IN,2021,10380,18575,5687,368,4083,23057,1008,1948,5439,1412,1197,92,347,3395,6923,12657,3046,956,3042,12174,7150,64,3023,410,219,92,822,1713,39093,3742,26624,2535
KS,2021,4837,4295,5070,208,709,10599,344,86,2326,114,410,7,194,886,4011,5011,3877,596,1208,7957,2804,5,1909,117,57,10,586,784,15119,1080,14703,1370
KY,2021,7677,8702,4005,120,537,11028,370,1960,3586,64,449,7,94,2617,6097,8572,2866,242,1037,7710,3550,0,4940,0,140,1,196,1330,21041,2711,18814,1526
LA,2021,4022,18341,2246,239,1380,9407,1056,3879,7937,275,814,33,177,1744,5216,12857,1876,723,2270,5968,3281,7,8560,63,279,27,635,2364,26228,1921,22942,2999
MA,2021,2936,2539,3508,184,466,7834,274,298,87,29,63,2,133,634,1192,445,2447,229,1758,4852,251,0,111,9,21,1,187,534,9633,767,6071,721
MD,2021,2503,5525,1580,120,257,6137,258,77,1698,26,259,31,116,1255,2330,2809,1114,399,1217,3804,1839,2,888,11,28,2,393,771,9985,1371,7869,1164
ME,2021,2048,1293,1884,30,377,4992,222,3,19,17,128,0,29,152,602,545,1339,51,195,2010,596,0,24,18,4,1,37,63,5632,181,2732,100
MI,2021,10979,11985,2860,922,1008,22515,692,489,361,135,548,5,918,1195,5446,6074,7407,1787,844,14096,3551,0,472,16,110,4,1798,1455,27754,2113,21558,3253
MN,2021,3905,4348,3650,39,2094,10719,311,793,1003,108,289,2,4,282,1594,1337,3052,3,467,5242,975,0,328,6,61,3,0,108,14036,286,6453,108
MO,2021,7459,4918,3109,22,2931,14397,1628,872,173,19,511,15,34,627,4928,5117,3170,22,2842,11026,2971,0,866,180,118,5,97,469,18439,661,16079,566
MS,2021,3138,3457,1237,54,152,5432,130,259,969,121,458,35,52,558,4424,6728,3561,117,335,5983,1221,13,6887,80,252,25,118,452,8038,610,15165,570
MT,2021,2835,2921,398,29,1041,5487,454,97,66,616,90,6,35,249,1909,2705,1037,147,990,3404,2676,0,168,195,19,1,50,202,7224,284,6788,252
NC,2021,11913,24269,5856,332,2919,26788,981,600,5451,1155,1335,58,242,7702,11197,16344,10852,729,3545,21920,6864,16,6984,10,263,30,697,4075,45289,7944,42667,4772
ND,2021,397,1390,585,0,277,2309,224,2,9,17,68,1,0,51,511,562,441,4,294,1548,315,0,32,0,7,1,2,16,2649,51,1812,18
NE,2021,1565,2291,640,1,197,3589,242,42,57,0,125,2,1,635,1105,2155,647,4,304,2160,1668,4,62,0,35,3,1,215,4694,636,4215,216
NH,2021,1378,813,1106,20,243,3153,143,5,66,4,57,0,18,117,387,329,963,25,257,1369,422,0,43,7,4,0,25,74,3560,135,1961,99
NJ,2021,2250,5452,2283,3,386,7635,279,299,676,0,471,2,2,370,991,1212,5154,21,345,4654,837,1,2094,0,27,0,3,173,10374,372,7723,176
NM,2021,2318,7480,1103,112,2074,5001,393,1512,2116,607,478,33,106,1501,4160,10349,950,368,2233,5515,3259,11,5715,235,242,37,418,1715,13087,1607,18060,2133
NV,2021,2037,7176,1245,419,1384,6715,318,1088,744,6,399,15,418,984,2312,8808,971,1571,2277,5636,4055,0,1606,7,97,45,1568,1234,12261,1402,15939,2802
NY,2021,8968,12936,6185,1040,2098,23688,760,481,711,148,851,49,1011,1391,3254,3163,6765,1307,1191,11781,1947,2,233,28,100,13,1246,590,31227,2402,15680,1836
OH,2021,5688,11022,2923,137,2152,18106,261,591,594,466,542,3,94,835,3242,6946,5401,471,1341,11817,2698,5,1058,50,116,18,431,863,21922,929,17401,1294
OK,2021,1932,1884,2236,15,1395,5448,72,687,559,283,330,17,5,239,3783,10868,2806,385,2028,8112,2588,0,6133,32,200,92,366,1959,7462,244,19870,2325
OR,2021,6038,6950,3022,379,649,12985,499,675,1294,100,261,6,332,756,2973,4133,2785,605,1029,6262,3522,1,471,14,57,2,520,526,17038,1088,11525,1046
